Gene_x	Gene_y	Condition1	Condition2	Type_of_gene_x	Type_of_gene_y	Z_Condition1	Z_Condition2	GI_Condition1	GI_Condition2	Class_Condition1	Class_Condition2	DeltaZ	DeltaGI	DeltaZ_FDR
MUS81	RAD18	NoDrug	MMS	DNA_repair	DNA_repair	-14.3582929811517	5.31716939372189	-0.205794715038236	0.0783825585891007	Negative	Expected	-13.8214433702803	-0.284177273627337	3.88201181291455e-20
CSM3	RAD5	NoDrug	MMS	DNA_repair	DNA_repair	-29.959362529261	2.14667049674563	-0.246438593266117	0.0198101420039297	Negative	Expected	-21.5372634932466	-0.266248735270046	2.43930446192116e-47
MAG1	RAD5	NoDrug	MMS	DNA_repair	DNA_repair	0.663853998490569	6.73329789482082	0.00437624475050262	0.0594227672480687	Expected	Positive	-4.99718945858461	-0.055046522497566	0.00252442955030899
MMS1	RAD5	NoDrug	MMS	DNA_repair	DNA_repair	-11.7667354969228	5.57763826793328	-0.0964608732463166	0.0531620850409555	Negative	Expected	-11.9015275765358	-0.149622958287272	3.88008641196303e-15
MMS4	RAD5	NoDrug	MMS	DNA_repair	DNA_repair	-28.5213902879621	8.59767296930263	-0.224092700984924	0.0830980597067484	Negative	Positive	-24.662365444763	-0.307190760691672	1.0324175574385e-61
MUS81	RAD5	NoDrug	MMS	DNA_repair	DNA_repair	-24.8437486341323	11.9194644563032	-0.233861374367908	0.112508737238398	Negative	Positive	-25.9829920114357	-0.346370111606306	2.98695396773644e-68
CLA4	RAD51	NoDrug	MMS	DNA_repair	DNA_repair	0.280966393661492	-13.8656165039936	0.00241062277537812	-0.420510351495193	Expected	Negative	13.4184698688156	0.422920974270571	5.55787128247937e-19
MAG1	RAD51	NoDrug	MMS	DNA_repair	DNA_repair	0.393493800232908	-7.56484153925372	0.00436111619938712	-0.360819696313924	Expected	Negative	7.45759257997844	0.365180812513311	2.16816532366192e-06
RAD18	RAD51	NoDrug	MMS	DNA_repair	DNA_repair	-0.978744048190722	7.99966023181317	-0.00940110325165639	0.120787661209019	Expected	Positive	-7.2749995774517	-0.130188764460675	3.76621973823978e-06
RAD5	RAD51	NoDrug	MMS	DNA_repair	DNA_repair	-19.5427011853789	9.25906430531164	-0.31778272452462	0.103148529787358	Negative	Positive	-21.3551322382461	-0.420931254311979	1.42282220064357e-46
CLA4	RAD54	NoDrug	MMS	DNA_repair	DNA_repair	2.81975803865591	-14.3619253786527	0.0171337681547851	-0.149126132160172	Expected	Negative	13.8196491978924	0.166259900314957	4.37560787558121e-20
MAG1	RAD54	NoDrug	MMS	DNA_repair	DNA_repair	1.91816032860597	-9.10445617980649	0.0141264134928679	-0.152188324040156	Expected	Negative	9.10504164821409	0.166314737533024	3.45149583557761e-09
MMS4	RAD54	NoDrug	MMS	DNA_repair	DNA_repair	5.47763220999892	10.3580554388672	0.0336606800113826	0.0961672983223266	Expected	Positive	-5.61415037949669	-0.062506618310944	0.000525882387235158
RAD18	RAD54	NoDrug	MMS	DNA_repair	DNA_repair	2.85615705153157	12.1698723272916	0.0217595635374558	0.153300298318548	Expected	Positive	-8.93537134284135	-0.131540734781092	6.39455711315005e-09
RAD5	RAD54	NoDrug	MMS	DNA_repair	DNA_repair	-24.0037718562043	17.8737663237352	-0.244956981369961	0.172665302043624	Negative	Positive	-29.7195693156999	-0.417622283413585	8.45227816522715e-89
CLA4	RAD55	NoDrug	MMS	DNA_repair	DNA_repair	2.78807590292718	-19.7177461350717	0.020266727568434	-0.448221542929352	Expected	Negative	19.6300816807291	0.468488270497786	1.92469119770097e-39
RAD18	RAD55	NoDrug	MMS	DNA_repair	DNA_repair	-15.3418560635603	11.3057162402859	-0.23923392543405	0.151331872590117	Negative	Positive	-19.0050524854512	-0.390565798024167	3.69510247932124e-37
RAD5	RAD55	NoDrug	MMS	DNA_repair	DNA_repair	-24.4255530623297	10.4380518683455	-0.299149571145455	0.102116566435068	Negative	Positive	-25.5989908829349	-0.401266137580523	2.5712186750833e-66
RAD51	RAD55	NoDrug	MMS	DNA_repair	DNA_repair	6.3719160480827	12.7350819077317	0.0559312764110082	0.158155088446587	Expected	Positive	-6.72179990482496	-0.102223812035579	2.35907108612405e-05
CLA4	RAD57	NoDrug	MMS	DNA_repair	DNA_repair	0.295771271440452	-17.7782710780695	0.00272607511320143	-0.483592630143868	Expected	Negative	16.9328557597144	0.48631870525707	1.19953712321295e-29
MAG1	RAD57	NoDrug	MMS	DNA_repair	DNA_repair	-2.34905467874022	-12.2115286764782	-0.0257392720213982	-0.449421230413718	Expected	Negative	11.0335150791891	0.423681958392319	4.24098064154409e-13
CLA4	RAD59	NoDrug	MMS	DNA_repair	DNA_repair	-0.84094630284708	-30.5325882615069	-0.00540947438812392	-0.304632703193425	Expected	Negative	25.2058598276031	0.299223228805301	2.95897766133088e-64
MUS81	RAD59	NoDrug	MMS	DNA_repair	DNA_repair	1.56309648724306	9.30335737202552	0.0109842219625846	0.0933015916234532	Expected	Positive	-6.72210793864016	-0.0823173696608686	2.35907108612405e-05
RAD18	RAD59	NoDrug	MMS	DNA_repair	DNA_repair	-28.6526733569093	8.73847189491192	-0.238147151458737	0.0872217570767404	Negative	Positive	-25.0499780914393	-0.325368908535478	1.29320263968055e-63
RAD5	RAD59	NoDrug	MMS	DNA_repair	DNA_repair	-31.6732084502261	4.70758792741638	-0.225718042036314	0.0401406023171621	Negative	Expected	-23.9238062722306	-0.265858644353476	3.65456450587472e-58
RAD51	RAD59	NoDrug	MMS	DNA_repair	DNA_repair	0.735940852165244	7.8941080715288	0.00522579506091802	0.0793743343020369	Expected	Positive	-6.02370888284558	-0.0741485392411189	0.000174683220035427
RAD54	RAD59	NoDrug	MMS	DNA_repair	DNA_repair	3.13654566006906	9.39825197953603	0.0177448471245542	0.0755667071937045	Expected	Positive	-5.88134397424816	-0.0578218600691502	0.000254325937030233
RAD55	RAD59	NoDrug	MMS	DNA_repair	DNA_repair	-29.2557871226238	6.87313714362217	-0.24040693557146	0.0673944570923015	Negative	Expected	-24.0592132601463	-0.307801392663762	8.78282437247625e-59
CSM3	RAD61	NoDrug	MMS	DNA_repair	DNA_repair	-21.114814036347	-3.5616641653456	-0.305475962181848	-0.0400704901747146	Negative	Expected	-14.4816708609249	-0.265405472007133	5.38198669784493e-22
RAD5	RTT101	NoDrug	MMS	DNA_repair	DNA_repair	-0.327507203265584	11.3954110612401	-0.00210539016297985	0.10835974533736	Expected	Positive	-9.62393240566789	-0.11046513550034	3.33039244557517e-10
RAD51	RTT101	NoDrug	MMS	DNA_repair	DNA_repair	1.62319591403002	-9.59377145061305	0.0150826319344313	-0.264301353161178	Expected	Negative	9.60938381036844	0.279383985095609	3.83793583827737e-10
RAD57	RTT101	NoDrug	MMS	DNA_repair	DNA_repair	0.738973347649926	-11.8819779788036	0.00741850561678012	-0.306315836559729	Expected	Negative	11.3402590317196	0.31373434217651	8.85011768159118e-14
CSM2	RTT107	NoDrug	MMS	DNA_repair	DNA_repair	0.54182486599769	-22.1150337160387	0.00312994953550363	-0.231409843108277	Expected	Negative	19.6225653204091	0.23453979264378	1.97577915507297e-39
MAG1	RTT107	NoDrug	MMS	DNA_repair	DNA_repair	-2.23328915514402	-7.28556591593023	-0.0230012921136193	-0.168687134536918	Expected	Negative	5.74902321621473	0.145685842423298	0.000384841132286814
MMS1	RTT107	NoDrug	MMS	DNA_repair	DNA_repair	-7.71908595368651	2.28896637495959	-0.090265738027308	0.0327461691658093	Negative	Expected	-6.65746543104857	-0.123011907193117	2.83903753374917e-05
PSY3	RTT107	NoDrug	MMS	DNA_repair	DNA_repair	-0.812394545816156	-33.4702957606291	-0.00416077790765688	-0.364165631976023	Expected	Negative	29.9369447473127	0.360004854068366	1.09000037755342e-89
RAD18	RTT107	NoDrug	MMS	DNA_repair	DNA_repair	1.83956238514267	13.7639877332376	0.013916189454655	0.162238584377354	Expected	Positive	-10.5899735610583	-0.148322394922699	3.57373119368347e-12
RAD5	RTT107	NoDrug	MMS	DNA_repair	DNA_repair	-6.82287719244875	13.1241759225854	-0.0445197735403126	0.119110252375583	Expected	Positive	-14.6388078324769	-0.163630025915896	1.9254715717068e-22
RAD55	RTT107	NoDrug	MMS	DNA_repair	DNA_repair	0.170615983234613	-8.16823603734434	0.00157360505209546	-0.152369462300237	Expected	Negative	7.39774784274164	0.153943067352333	2.65038233366839e-06
RAD57	RTT107	NoDrug	MMS	DNA_repair	DNA_repair	-0.846580372270103	-7.23494511298292	-0.00843063803545563	-0.153231791913699	Expected	Negative	6.18707843127865	0.144801153878244	0.000117390425247588
RAD61	RTT107	NoDrug	MMS	DNA_repair	DNA_repair	0.929650479369862	-13.4531688869527	0.00833794219806755	-0.345992938570138	Expected	Negative	13.009006670242	0.354330880768205	6.89995767918197e-18
RTT101	RTT107	NoDrug	MMS	DNA_repair	DNA_repair	-14.047085878484	3.77223841546931	-0.326914970946179	0.0437453295480924	Negative	Expected	-14.2550546338845	-0.370660300494272	2.37363932091708e-21
CLA4	SGS1	NoDrug	MMS	DNA_repair	DNA_repair	1.1403852695714	-19.1247138170396	0.00776653340911644	-0.230297422297749	Expected	Negative	17.2081907839222	0.238063955706866	1.55225283434725e-30
CSM3	SGS1	NoDrug	MMS	DNA_repair	DNA_repair	-26.7839335461862	-2.01429235618427	-0.307196825476349	-0.0174378903883372	Negative	Expected	-20.1643384541219	-0.289758935088012	1.36631162507116e-41
MAG1	SGS1	NoDrug	MMS	DNA_repair	DNA_repair	-0.065649668441428	-6.67045084280124	-0.000499276991758207	-0.0990209190585235	Expected	Negative	5.90676755541304	0.0985216420667653	0.000252591418371094
RAD18	SGS1	NoDrug	MMS	DNA_repair	DNA_repair	6.46725757952472	18.3378309978022	0.0422862936730359	0.173794385412847	Expected	Positive	-11.4215573030583	-0.131508091739811	5.33025292209895e-14
RAD52	SGS1	NoDrug	MMS	DNA_repair	DNA_repair	3.66388858946994	13.0590398123541	0.0471699235171955	0.198762423289724	Expected	Positive	-7.60433740052205	-0.151592499772528	1.20289822362315e-06
RAD57	SGS1	NoDrug	MMS	DNA_repair	DNA_repair	2.01538606143065	8.23235093029984	0.0183102346538428	0.0997943467282346	Expected	Positive	-5.37887647095437	-0.0814841120743917	0.000968817764162655
RTT101	SGS1	NoDrug	MMS	DNA_repair	DNA_repair	-20.4844217248977	6.39795954305713	-0.224197075645009	0.0603194734952855	Negative	Expected	-19.6958111776307	-0.284516549140294	9.19575286447573e-40
CLA4	SHU1	NoDrug	MMS	DNA_repair	DNA_repair	2.32000471484373	-22.0664621698629	0.0124812554239717	-0.189023638762534	Expected	Negative	19.9206516457008	0.201504894186505	1.44819638032621e-40
MAG1	SHU1	NoDrug	MMS	DNA_repair	DNA_repair	-5.46775835083011	-18.5144870404356	-0.0345591374670181	-0.242127584528985	Expected	Negative	14.2904034708822	0.207568447061966	2.1828747283703e-21
RAD5	SHU1	NoDrug	MMS	DNA_repair	DNA_repair	0.696037754089589	5.9737235256175	0.00684849423336586	0.0835222671814271	Expected	Positive	-4.48471784722725	-0.0766737729480612	0.0080672243453865
RAD51	SHU1	NoDrug	MMS	DNA_repair	DNA_repair	-0.0284545386519697	7.51604596114078	-0.000198725099041801	0.076509788629322	Expected	Positive	-6.21374557744251	-0.0767085137283638	0.000103122954358666
RTT107	SHU1	NoDrug	MMS	DNA_repair	DNA_repair	0.133874379882853	-15.679396288405	0.000778286958155584	-0.171052256695362	Expected	Negative	13.9002304199943	0.171830543653517	2.69661239324851e-20
CLA4	SHU2	NoDrug	MMS	DNA_repair	DNA_repair	2.05952411247743	-25.6781091025942	0.0111402467933463	-0.22461714587938	Expected	Negative	22.9230077300346	0.235757392672726	1.99013786533841e-53
MAG1	SHU2	NoDrug	MMS	DNA_repair	DNA_repair	-1.79238444070234	-23.4926702995291	-0.010804225766685	-0.2745980236283	Expected	Negative	20.0581933406582	0.263793797861615	4.22270605186494e-41
MMS4	SHU2	NoDrug	MMS	DNA_repair	DNA_repair	-0.476684733481065	7.29299791548786	-0.00304553116279309	0.0679962398787385	Expected	Positive	-6.28548696737734	-0.0710417710415316	8.4647317057899e-05
MPH1	SHU2	NoDrug	MMS	DNA_repair	DNA_repair	-9.46529965029539	0.442937307024174	-0.0883617369195318	0.00497394162001681	Negative	Expected	-6.39152084767966	-0.0933356785395487	6.16743623275664e-05
MUS81	SHU2	NoDrug	MMS	DNA_repair	DNA_repair	-0.606220924429638	7.80755024289715	-0.00356667293903328	0.0673842520006406	Expected	Positive	-6.79265150525299	-0.0709509249396739	1.91622337115572e-05
RAD51	SHU2	NoDrug	MMS	DNA_repair	DNA_repair	2.07965605465896	9.22997696438517	0.0140335378968191	0.0901631335201739	Expected	Positive	-6.41219090351191	-0.0761295956233548	5.91120695763269e-05
RTT107	SHU2	NoDrug	MMS	DNA_repair	DNA_repair	-2.89313031664444	-20.5418976492729	-0.0174244774400741	-0.245508291248854	Expected	Negative	17.0423846318501	0.22808381380878	5.48928487428189e-30
CSM2	SLX4	NoDrug	MMS	DNA_repair	DNA_repair	-4.49158966187776	-14.3825181139879	-0.0351317785990017	-0.177227398717892	Expected	Negative	9.7357591633685	0.142095620118891	2.21370948665793e-10
CSM3	SLX4	NoDrug	MMS	DNA_repair	DNA_repair	-5.1938721362251	-11.4083060098442	-0.038410580188557	-0.122231127737226	Expected	Negative	6.43848365796545	0.0838205475486688	5.85534310712462e-05
MAG1	SLX4	NoDrug	MMS	DNA_repair	DNA_repair	0.401122257329247	-20.0603854657452	0.00344269941585866	-0.341733550430246	Expected	Negative	18.0955889096557	0.345176249846105	1.10984005576752e-33
MMS1	SLX4	NoDrug	MMS	DNA_repair	DNA_repair	-2.85270144914017	-12.675591320844	-0.0249529063376015	-0.22115380631021	Expected	Negative	10.0527659438593	0.196200899972608	5.24762143006629e-11
MPH1	SLX4	NoDrug	MMS	DNA_repair	DNA_repair	0.280227786987243	-11.1876822045186	0.00293990923114282	-0.218907620609524	Expected	Negative	9.99226645046585	0.221847529840666	6.78458240857224e-11
PSY3	SLX4	NoDrug	MMS	DNA_repair	DNA_repair	0.197366867140252	-19.8871821159907	0.00125555024206256	-0.195474867911986	Expected	Negative	16.8028048604377	0.196730418154048	3.25069884932786e-29
RAD51	SLX4	NoDrug	MMS	DNA_repair	DNA_repair	2.40486713929743	-17.098262159232	0.0228528706118717	-0.351051644133288	Expected	Negative	16.5269558904394	0.37390451474516	2.70889999991187e-28
RAD54	SLX4	NoDrug	MMS	DNA_repair	DNA_repair	1.70541591089407	-20.4398930886383	0.0124992383565315	-0.328974682664113	Expected	Negative	19.3087477711959	0.341473921020645	3.14485713709631e-38
RAD55	SLX4	NoDrug	MMS	DNA_repair	DNA_repair	1.67935294924886	-20.6062175403838	0.0145723133269108	-0.399509628202526	Expected	Negative	19.4943863342336	0.414081941529436	6.10228951198115e-39
RAD57	SLX4	NoDrug	MMS	DNA_repair	DNA_repair	4.00378063012668	-8.54240662930386	0.0547225445659813	-0.353469342448685	Expected	Negative	9.36712492119358	0.408191887014666	1.12491459589981e-09
RAD59	SLX4	NoDrug	MMS	DNA_repair	DNA_repair	-0.855803581597515	-32.8891155711198	-0.006610444928679	-0.42011199806658	Expected	Negative	27.7007564380642	0.413501553137901	2.77935158782372e-77
RTT101	SLX4	NoDrug	MMS	DNA_repair	DNA_repair	-1.27335013101954	-19.377377797703	-0.0103231075731961	-0.347341854089358	Expected	Negative	17.1308693170206	0.337018746516162	2.79467195814661e-30
SHU1	SLX4	NoDrug	MMS	DNA_repair	DNA_repair	0.297484962046158	-13.2633720400753	0.00233547975649576	-0.167905996395747	Expected	Negative	11.4285878354486	0.170241476152243	5.60727355512641e-14
SHU2	SLX4	NoDrug	MMS	DNA_repair	DNA_repair	0.34511756107345	-12.1255055948746	0.0029369803114092	-0.193559703305524	Expected	Negative	10.8623123057545	0.196496683616933	1.00982820030202e-12
RAD5	SRS2	NoDrug	MMS	DNA_repair	DNA_repair	5.62936590484954	27.6170748751014	0.0403469357490559	0.277067891633154	Expected	Positive	-19.199349410322	-0.236720955884098	6.77883339805777e-38
RAD51	SRS2	NoDrug	MMS	DNA_repair	DNA_repair	2.06333262788972	7.13956506872563	0.0140283199444911	0.0730575598971037	Expected	Positive	-4.8047777592356	-0.0590292399526126	0.00394293360742627
RAD59	SRS2	NoDrug	MMS	DNA_repair	DNA_repair	2.12795555017905	12.3948906197445	0.0110722258770303	0.091353716313737	Expected	Positive	-8.89852601527137	-0.0802814904367067	7.38047396111215e-09
RAD61	SRS2	NoDrug	MMS	DNA_repair	DNA_repair	-5.8118125394856	-16.1700612451527	-0.0491085775871916	-0.244841124122536	Expected	Negative	11.2880647233358	0.195732546535345	1.14928047378805e-13
RTT101	SRS2	NoDrug	MMS	DNA_repair	DNA_repair	-27.5791121153428	2.3750970494942	-0.312832046233799	0.0210011694926011	Negative	Expected	-23.211391147866	-0.3338332157264	8.39633740017395e-55
SHU2	SRS2	NoDrug	MMS	DNA_repair	DNA_repair	-0.137450978354569	7.11625999346419	-0.000978867317131105	0.0758930324499005	Expected	Positive	-5.99440633396649	-0.0768718997670316	0.00018850549175815
CLA4	CSM3	NoDrug	4NQO	DNA_repair	DNA_repair	-6.35351130507741	-24.9646940770744	-0.0385704072737719	-0.397525619573611	Expected	Negative	21.0636212741243	0.358955212299839	3.40399385752495e-52
MMS4	MPH1	NoDrug	4NQO	DNA_repair	DNA_repair	-10.0819192025588	3.52604601822267	-0.203629578259518	0.0829938142935542	Negative	Expected	-9.24136662151299	-0.286623392553072	1.33341171968297e-10
MPH1	MUS81	NoDrug	4NQO	DNA_repair	DNA_repair	-7.81062716463134	0.0245341456743647	-0.279229627425428	0.000826081396864464	Negative	Expected	-5.70264153770743	-0.280055708822293	0.000216674092166549
MAG1	PSY3	NoDrug	4NQO	DNA_repair	DNA_repair	1.50964493493949	-6.42490563977027	0.00808056504083654	-0.0508150984035034	Expected	Negative	6.16702879018425	0.0588956634443399	5.54205363203109e-05
CLA4	RAD18	NoDrug	4NQO	DNA_repair	DNA_repair	-25.8236836628159	4.91672160958825	-0.225905414990374	0.058634108832211	Negative	Expected	-19.2386600151295	-0.284539523822585	8.83083537591472e-44
CSM3	RAD18	NoDrug	4NQO	DNA_repair	DNA_repair	-21.0613019481988	4.36957025372837	-0.247658033028825	0.0627798361920059	Negative	Expected	-16.7207489443928	-0.310437869220831	2.68670678714066e-33
MAG1	RAD18	NoDrug	4NQO	DNA_repair	DNA_repair	-6.37322268981488	-10.3297725004668	-0.05301117169455	-0.332196081531432	Expected	Negative	8.40479001282576	0.279184909836882	8.25453426482406e-09
MMS4	RAD18	NoDrug	4NQO	DNA_repair	DNA_repair	-20.2722890731681	5.17060110314317	-0.21693574873152	0.0742480233370544	Negative	Expected	-16.2595623557838	-0.291183772068574	1.60447220639937e-31
MUS81	RAD18	NoDrug	4NQO	DNA_repair	DNA_repair	-14.3582929811517	6.53244209685555	-0.205794715038236	0.106392489582704	Negative	Positive	-14.389579847443	-0.31218720462094	8.45697842923926e-25
PSY3	RAD18	NoDrug	4NQO	DNA_repair	DNA_repair	2.36409606220618	-22.4314192053202	0.0163753444617831	-0.358365325686197	Expected	Negative	21.5207296170921	0.37474067014798	1.95831742368095e-54
CSM3	RAD5	NoDrug	4NQO	DNA_repair	DNA_repair	-29.959362529261	0.484203165353612	-0.246438593266117	0.00527949121851716	Negative	Expected	-18.4297033136772	-0.251718084484634	2.89592026159196e-40
MMS1	RAD5	NoDrug	4NQO	DNA_repair	DNA_repair	-11.7667354969228	4.42237639708389	-0.0964608732463166	0.0537188807436016	Negative	Expected	-10.2480295046419	-0.150179753989918	6.57915931306384e-13
MMS4	RAD5	NoDrug	4NQO	DNA_repair	DNA_repair	-28.5213902879621	8.51787738515172	-0.224092700984924	0.0942610605594421	Negative	Positive	-23.45694513586	-0.318353761544366	2.20751484075461e-64
MUS81	RAD5	NoDrug	4NQO	DNA_repair	DNA_repair	-24.8437486341323	9.282943109214	-0.233861374367908	0.11110201474186	Negative	Positive	-22.6551492772693	-0.344963389109768	2.99177158943745e-60
PSY3	RAD5	NoDrug	4NQO	DNA_repair	DNA_repair	0.0246127834578905	-27.9387312804435	0.000143982159487045	-0.371512685880337	Expected	Negative	25.5833365032099	0.371656668039824	2.42075032406783e-76
RAD18	RAD51	NoDrug	4NQO	DNA_repair	DNA_repair	-0.978744048190722	6.33784305586105	-0.00940110325165639	0.11413725387847	Expected	Positive	-6.05274920197354	-0.123538357130126	7.47456300601612e-05
RAD5	RAD51	NoDrug	4NQO	DNA_repair	DNA_repair	-19.5427011853789	10.0498244542067	-0.31778272452462	0.125126359045443	Negative	Positive	-21.6262834195885	-0.442909083570063	4.97229164922866e-55
PSY3	RAD52	NoDrug	4NQO	DNA_repair	DNA_repair	-1.0785365847973	-14.1012035401824	-0.0121631306114608	-0.403744603560523	Expected	Negative	12.7249046684957	0.391581472949062	1.78233078174411e-19
MMS4	RAD54	NoDrug	4NQO	DNA_repair	DNA_repair	5.47763220999892	8.92692715188926	0.0336606800113826	0.0942994769074567	Expected	Positive	-4.96190461187085	-0.0606387968960741	0.00189570541721972
RAD18	RAD54	NoDrug	4NQO	DNA_repair	DNA_repair	2.85615705153157	11.8834380111541	0.0217595635374558	0.169930954807247	Expected	Positive	-9.14488640158416	-0.148171391269791	2.12874486949467e-10
RAD5	RAD54	NoDrug	4NQO	DNA_repair	DNA_repair	-24.0037718562043	13.9304967775555	-0.244956981369961	0.156422232422599	Negative	Positive	-26.4531776525472	-0.40137921379256	1.66104798270619e-81
MAG1	RAD55	NoDrug	4NQO	DNA_repair	DNA_repair	-1.69620165961901	-11.6474570706312	-0.0157055456261651	-0.367717161923511	Expected	Negative	10.6993120354845	0.352011616297346	6.21316288822379e-14
RAD18	RAD55	NoDrug	4NQO	DNA_repair	DNA_repair	-15.3418560635603	7.30106732255645	-0.23923392543405	0.118243208323985	Negative	Positive	-15.9004813874536	-0.357477133758035	3.39538643379115e-30
RAD5	RAD55	NoDrug	4NQO	DNA_repair	DNA_repair	-24.4255530623297	6.66047789989918	-0.299149571145455	0.0788623062902377	Negative	Positive	-22.1902599611113	-0.378011877435693	7.1176494987896e-58
RAD51	RAD55	NoDrug	4NQO	DNA_repair	DNA_repair	6.3719160480827	12.2563733097688	0.0559312764110082	0.176139620136256	Expected	Positive	-7.13829855268783	-0.120208343725248	1.52273326196503e-06
MMS1	RAD57	NoDrug	4NQO	DNA_repair	DNA_repair	-0.930137952226378	-10.2876251851899	-0.0115606393373195	-0.442294703510366	Expected	Negative	9.62461018643085	0.430734064173046	2.0972328021913e-11
MMS1	RAD59	NoDrug	4NQO	DNA_repair	DNA_repair	-12.484075051623	-0.490621109985725	-0.0879880172547278	-0.00520893677855633	Negative	Expected	-6.49580789569266	-0.0827790804761715	1.71690972425834e-05
RAD5	RAD59	NoDrug	4NQO	DNA_repair	DNA_repair	-31.6732084502261	2.38582055501389	-0.225718042036314	0.0254191787580744	Negative	Expected	-19.5926099150376	-0.251137220794388	2.40246767802735e-45
RAD55	RAD59	NoDrug	4NQO	DNA_repair	DNA_repair	-29.2557871226238	3.34074841379833	-0.24040693557146	0.0366429619510693	Negative	Expected	-20.2148857274242	-0.27704989752253	3.17220815507768e-48
RAD57	RAD59	NoDrug	4NQO	DNA_repair	DNA_repair	-3.02256638186619	-20.5837353262004	-0.0290703161553168	-0.411564628769466	Expected	Negative	17.2391407922781	0.38249431261415	3.26650470493626e-35
CLA4	RAD61	NoDrug	4NQO	DNA_repair	DNA_repair	-4.32118625567404	-20.9765969948278	-0.0359776872359253	-0.363127965356463	Expected	Negative	17.0308903453181	0.327150278120538	2.03022097414194e-34
MMS1	RAD61	NoDrug	4NQO	DNA_repair	DNA_repair	-4.6825755161125	-12.9133628395001	-0.0513011359000243	-0.441331476185306	Expected	Negative	10.8675566451105	0.390030340285282	2.50206783835979e-14
RAD18	RAD61	NoDrug	4NQO	DNA_repair	DNA_repair	-2.12599689661602	-8.35691934499937	-0.0252033083420516	-0.353794387079654	Expected	Negative	7.47409755134632	0.328591078737602	4.33396588951712e-07
RAD5	RAD61	NoDrug	4NQO	DNA_repair	DNA_repair	0.954146884173334	-13.6902784391605	0.009093872724465	-0.370781423422034	Expected	Negative	13.230717623476	0.379875296146499	5.72761577064261e-21
CSM3	RTT101	NoDrug	4NQO	DNA_repair	DNA_repair	-3.41208157258733	-18.6608988790175	-0.0213268539203941	-0.431026500833369	Expected	Negative	17.1217581106321	0.409699646912975	9.22514577599036e-35
